사업장명,도로명주소,병상수,입원실수,의료인수,cluster,혼잡도,좌표정보(X),좌표정보(Y)
의료법인한국의료재단프라임병원,서울특별시 중랑구 공릉로 76 (묵동),30.0,9.0,2.0,0,혼잡,206946.6753683,457213.210353545
서울특별시 북부병원,서울특별시 중랑구 양원역로 38 (망우동),200.0,61.0,150.0,0,여유,209440.492707431,455783.882625987
조앤조병원,"서울특별시 중랑구 망우로 474 (망우동, 조앤조병원)",65.0,17.0,11.0,0,혼잡,209177.682798072,455333.044481669
마디세상병원,서울특별시 중랑구 동일로 890 (묵동),46.0,14.0,44.0,0,여유,206836.62018675,456400.58527076
서울라본병원,서울특별시 중랑구 망우로 476 (망우동),57.0,17.0,15.0,0,혼잡,209210.830664866,455338.56819019
서울특별시서울의료원,서울특별시 중랑구 신내로 156 (신내동),651.0,176.0,1056.0,1,여유,208580.409647184,456742.947541604
디앤에프병원,"서울특별시 중랑구 봉화산로 64 (중화동, 디엔에프병원)",66.0,18.0,27.0,0,보통,207125.811484424,455464.287801328
팔팔병원,"서울특별시 중랑구 동일로 679 (면목동, 88병원)",86.0,15.0,57.0,0,여유,206970.931160172,454293.539072489
서울정병원,"서울특별시 중랑구 면목로 310, 4,5,6,7층일부층 (면목동)",53.0,9.0,13.0,0,혼잡,207702.839931452,453039.34552948
늘찬병원,"서울특별시 중랑구 동일로 643, 화성빌딩 지하1, 2~8층 (면목동)",43.0,14.0,37.0,0,여유,206963.656507439,453966.434982103
러스크서울병원,서울특별시 중랑구 망우로 470 (망우동),200.0,54.0,58.0,0,혼잡,209144.172317054,455311.560177952
연세산돌병원,"서울특별시 중랑구 봉우재로 234, 연세산돌병원 지하1층~7층 (망우동)",44.0,15.0,26.0,0,보통,208664.15211223,454762.013502246
학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",944.0,264.0,2095.0,1,여유,202313.850759843,453871.264665299
서울척병원,서울특별시 성북구 동소문로47길 8 (길음동),99.0,23.0,140.0,0,여유,202513.134565354,456279.155933546
