사업장명,좌표정보(X),좌표정보(Y),도로명주소,병상수,입원실수,의료인수,cluster,혼잡도,hpid_x,dutyName_x,dutyAddr_x,hpid_y,dutyName_y,dutyAddr_y,hpid,dutyName,dutyAddr
강북으뜸병원,202240.855124105,458118.709572688,"서울특별시 강북구 도봉로 187, 지하1층, 지상1층~지상5층 (미아동)",64.0,19.0,19.0,0,혼잡,A1121842,강북으뜸병원,"서울특별시 강북구 도봉로 187, 지하1층, 지상1층~지상5층 (미아동)",A1121842,강북으뜸병원,"서울특별시 강북구 도봉로 187, 지하1층, 지상1층~지상5층 (미아동)",A1121842,강북으뜸병원,"서울특별시 강북구 도봉로 187, 지하1층, 지상1층~지상5층 (미아동)"
서울유병원,202541.070832521,457081.260634815,"서울특별시 강북구 도봉로 77, 지하2층~지하1층, 3층~8층층 (미아동)",54.0,24.0,43.0,0,여유,,,,,,,,,
정석병원,205550.908407551,461343.062226682,"서울특별시 노원구 노해로 502, 2층, 3층, 5층 (상계동)",53.0,10.0,32.0,0,여유,,,,,,,,,
강북연세병원,206592.199165568,457438.713791301,서울특별시 노원구 동일로 996 (공릉동),82.0,20.0,74.0,0,여유,,,,,,,,,
새힘병원,205922.151234054,461261.657201799,서울특별시 노원구 노원로 416(상계동),48.0,16.0,25.0,0,여유,,,,,,,,,
본바움병원,193651.134148026,456526.076692087,"서울특별시 은평구 불광로 29, 3~11층 (대조동)",47.0,15.0,37.0,0,여유,,,,,,,,,
최원호병원,193205.566015544,455829.616998307,"서울특별시 은평구 서오릉로 45, 최원호병원 (녹번동)",90.0,18.0,36.0,0,보통,A1117070,최원호병원,"서울특별시 은평구 서오릉로 45, 최원호병원 (녹번동)",A1117070,최원호병원,"서울특별시 은평구 서오릉로 45, 최원호병원 (녹번동)",A1117070,최원호병원,"서울특별시 은평구 서오릉로 45, 최원호병원 (녹번동)"
의료법인 성누가의료재단 성누가병원,193778.708753016,456467.985518055,"서울특별시 은평구 통일로 726, 불광메디컬타워 1~12층 (불광동)",30.0,10.0,19.0,0,여유,,,,,,,,,
리드힐병원,192551.98978217,455278.568446081,"서울특별시 은평구 연서로 10, 지하2~지상9층 (역촌동)",40.0,15.0,24.0,0,여유,,,,,,,,,
가자연세병원,192562.973370487,451852.14962353,"서울특별시 서대문구 수색로 18, 2~5층 (남가좌동, 영보웨딩부페)",40.0,12.0,32.0,0,여유,,,,,,,,,
연세한강병원,195051.53369717,448575.956518546,"서울특별시 마포구 마포대로 25, 대농빌딩 2,3,5층 (마포동)",49.0,14.0,36.0,0,여유,,,,,,,,,
세솟는정형외과병원,194363.589730635,450007.19193806,"서울특별시 마포구 백범로 26, 세솟는병원 (신수동)",30.0,10.0,10.0,0,보통,,,,,,,,,
위비앙병원,195728.22322929,450517.899048451,서울특별시 마포구 신촌로 240 (아현동),43.0,18.0,20.0,0,보통,,,,,,,,,
서울연세병원,194654.585202529,448914.521960764,"서울특별시 마포구 토정로 271, 대현빌딩 지하1층,지상2~6층 (용강동)",44.0,14.0,26.0,0,여유,,,,,,,,,
올센병원,194681.263317912,449408.790227561,"서울특별시 마포구 독막로 241, 지하2-3층, 지상2-5층 (대흥동)",58.0,18.0,29.0,0,보통,,,,,,,,,
서울특별시서남병원,185179.358877689,445532.444934761,서울특별시 양천구 신정이펜1로 20 (신정동),297.0,76.0,368.0,2,여유,A1100223,서울특별시서남병원,서울특별시 양천구 신정이펜1로 20 (신정동),A1100223,서울특별시서남병원,서울특별시 양천구 신정이펜1로 20 (신정동),A1100223,서울특별시서남병원,서울특별시 양천구 신정이펜1로 20 (신정동)
목동제일여성병원,186831.15837972,446764.915938532,서울특별시 양천구 중앙로 300 (신정동),39.0,22.0,7.0,0,혼잡,,,,,,,,,
방화병원,183500.183270254,452337.321434998,"서울특별시 강서구 양천로 92, 지하1, 지상1~6층 층호 (방화동, 방화정형외과)",30.0,11.0,12.0,0,보통,,,,,,,,,
서울고든병원,187974.228864018,450369.165403996,"서울특별시 강서구 양천로 600, 파인블루빌딩 지하1층,2,7,8층 ,9,10호 (등촌동)",84.0,20.0,49.0,0,여유,,,,,,,,,
서울큰나무병원,185617.497941805,449153.637971735,"서울특별시 강서구 강서로 206, 1층일부,2~6층 (화곡동)",82.0,23.0,37.0,0,보통,,,,,,,,,
이화여자대학교의과대학부속서울병원,185455.170806691,450604.239360205,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 (마곡동)",854.0,429.0,2043.0,1,여유,A1120796,이화여자대학교의과대학부속서울병원,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 (마곡동)",A1120796,이화여자대학교의과대학부속서울병원,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 (마곡동)",A1120796,이화여자대학교의과대학부속서울병원,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 (마곡동)"
강서바른세상병원,183284.388090473,451554.110365625,"서울특별시 강서구 금낭화로 9, 바른세상병원 1~7층 (방화동)",118.0,34.0,44.0,0,보통,,,,,,,,,
에스앤유서울병원,185253.47815088,450811.037605568,"서울특별시 강서구 공항대로 237, 에이스타워 마곡 3,4,5,6층 (마곡동)",89.0,25.0,89.0,0,여유,,,,,,,,,
서울원병원,185725.161390724,448911.264785071,"서울특별시 강서구 강서로 179, 6~10층 (화곡동)",68.0,24.0,34.0,0,보통,,,,,,,,,
비에스코아이비인후과병원,185487.641769266,450280.85856253,"서울특별시 강서구 강서로 323, 4~8층 (내발산동)",35.0,21.0,23.0,0,여유,,,,,,,,,
서울필병원,185569.392871863,450611.074306467,서울특별시 강서구 강서로 357 (내발산동),72.0,24.0,34.0,0,보통,,,,,,,,,
원탑병원,187868.192160081,447679.060113622,"서울특별시 강서구 등촌로 15, 3~6층 (화곡동)",74.0,20.0,34.0,0,보통,,,,,,,,,
강서푸른꿈성모어린이병원,186299.74267687,450792.016505679,"서울특별시 강서구 공항대로41길 34, 플러스존 3,8,9층 (등촌동)",68.0,43.0,33.0,0,보통,,,,,,,,,
서울대효병원,185417.671117954,449870.265715482,"서울특별시 강서구 강서로47가길 33, 덕산빌딩 2,3,4,5,6층 (내발산동)",147.0,27.0,50.0,0,보통,,,,,,,,,
강서힘찬병원,185851.053632398,450781.441229945,"서울특별시 강서구 강서로56길 38, 강서힘찬병원 (등촌동)",113.0,24.0,82.0,0,여유,,,,,,,,,
부민병원,186764.38128991,450518.080943938,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",300.0,124.0,362.0,2,여유,A1100036,부민병원,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",A1100036,부민병원,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",A1100036,부민병원,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)"
우리들병원,182141.205465089,451078.47991,서울특별시 강서구 하늘길 70 (과해동),165.0,41.0,139.0,2,여유,A1100042,우리들병원,서울특별시 강서구 하늘길 70 (과해동),A1100042,우리들병원,서울특별시 강서구 하늘길 70 (과해동),A1100042,우리들병원,서울특별시 강서구 하늘길 70 (과해동)
목동현대웰병원,187589.446384647,444825.082812753,"서울특별시 구로구 중앙로 91, 본소클리닉스 (고척동)",78.0,21.0,28.0,0,보통,,,,,,,,,
의료법인 서울효천의료재단 에이치플러스재활자립병원,190344.191572332,444414.17086261,"서울특별시 구로구 공원로6가길 4, 고려 수 타워 (구로동)",142.0,39.0,53.0,0,보통,,,,,,,,,
포그니병원,187826.698183821,443925.52468616,"서울특별시 구로구 경인로 393-7, 일이삼전자타운 2동 6,7층 (고척동)",99.0,36.0,18.0,0,혼잡,,,,,,,,,
참튼튼병원,191118.289291823,442223.132052108,"서울특별시 구로구 시흥대로 547, 금강빌딩 지하1,2~10층(구로동), 디지털로32가길 25, 티타운빌딩 B102,103,205,206,302 (구로동)",56.0,12.0,62.0,0,여유,,,,,,,,,
예스병원,189614.168824038,443289.375602701,"서울특별시 구로구 구로동로 147, MEDI FLOWER 147 (구로동)",58.0,12.0,42.0,0,여유,,,,,,,,,
삼성미래여성병원,185818.005782408,443237.927427791,"서울특별시 구로구 서해안로 2296, 삼성미래여성병원 (오류동)",51.0,33.0,21.0,0,보통,,,,,,,,,
의료법인 우리아이들 의료재단 우리아이들병원,189538.879839832,444449.405034497,"서울특별시 구로구 새말로 15, 2~10층,11층 일부호 (구로동, 삼전 솔하임)",73.0,54.0,76.0,0,여유,,,,,,,,,
아름제일병원,190244.829015482,444811.238193821,"서울특별시 구로구 새말로 94, 2~6층, 9층 / 새말로 110 지하1층동 3~6층 (구로동)",97.0,44.0,49.0,0,보통,,,,,,,,,
연세사랑모아여성병원,187606.693801873,444911.925277155,서울특별시 구로구 중앙로 100 (고척동),31.0,17.0,10.0,0,보통,,,,,,,,,
새움병원,190879.785534795,441215.679173384,"서울특별시 금천구 시흥대로139길 8, 새움병원 (독산동)",100.0,29.0,71.0,0,여유,,,,,,,,,
서울대효병원,191191.868732053,439144.877856068,"서울특별시 금천구 시흥대로 230, 서평빌딩 5,6,7층 (시흥동)",110.0,27.0,28.0,0,혼잡,,,,,,,,,
금천수병원,191659.51307314,441984.502153591,"서울특별시 금천구 남부순환로 1400, 1층~9층 (독산동)",194.0,65.0,42.0,2,혼잡,,,,,,,,,
서울바른세상병원,190880.477053829,441004.490706785,"서울특별시 금천구 시흥대로 421 (독산동, 건국빌딩)",88.0,16.0,64.0,0,여유,,,,,,,,,
의료법인 춘혜의료재단 명지춘혜재활병원,190828.040487341,444275.786198925,"서울특별시 영등포구 대림로 223 (대림동, 명지춘혜병원)",254.0,95.0,83.0,2,보통,,,,,,,,,
덕수의료재단 서울브레인병원,191256.017169752,446425.984842846,서울특별시 영등포구 영신로34길 5 (영등포동4가),112.0,30.0,25.0,0,혼잡,,,,,,,,,
한강수병원,190282.785893083,446694.25657399,"서울특별시 영등포구 영등포로 83, 한강수병원 (양평동1가)",58.0,19.0,68.0,0,여유,A1100163,한강수병원,"서울특별시 영등포구 영등포로 83, 한강수병원 (양평동1가)",A1100163,한강수병원,"서울특별시 영등포구 영등포로 83, 한강수병원 (양평동1가)",A1100163,한강수병원,"서울특별시 영등포구 영등포로 83, 한강수병원 (양평동1가)"
새길병원,191506.148858786,446609.211364301,서울특별시 영등포구 영중로 59 (영등포동6가),51.0,13.0,23.0,0,보통,,,,,,,,,
서울바른병원,192857.928262332,444236.200769671,"서울특별시 영등포구 여의대방로 145, 2~7층 (신길동, 세인트빌딩)",80.0,20.0,45.0,0,여유,,,,,,,,,
어울림병원,192946.280189392,445685.944518825,"서울특별시 영등포구 영등포로 386 (신길동, 동인빌딩)",57.0,15.0,36.0,0,여유,,,,,,,,,
신세계서울병원,191619.249847095,446038.543732844,"서울특별시 영등포구 경인로 841, 서울영등포동4가우체국 2,6,7,9~11층 (영등포동4가)",82.0,24.0,63.0,0,여유,,,,,,,,,
낭만병원,198290.516043124,442261.684257124,서울특별시 동작구 동작대로 67 (사당동),41.0,9.0,23.0,0,여유,A1126226,낭만병원,서울특별시 동작구 동작대로 67 (사당동),A1126226,낭만병원,서울특별시 동작구 동작대로 67 (사당동),A1126226,낭만병원,서울특별시 동작구 동작대로 67 (사당동)
연세바른병원,198202.472533419,442471.241038085,"서울특별시 동작구 사당로 300, 2·4층일부및3  층 (사당동, 이수자이)",45.0,11.0,47.0,0,여유,,,,,,,,,
서울퍼스트병원,194719.981415722,442674.193730756,"서울특별시 관악구 은천로 51 (봉천동, 2,3,4,5,6층)",163.0,47.0,56.0,2,보통,,,,,,,,,
척편한병원,193773.070404044,442270.419248856,"서울특별시 관악구 신림로 318, 4,5층 (신림동, 청암두산위브)",90.0,20.0,19.0,0,혼잡,,,,,,,,,
조인트힐병원,192636.667380434,441286.654526964,서울특별시 관악구 난곡로 215 (신림동),41.0,13.0,18.0,0,보통,,,,,,,,,
연세건우병원,196534.587783352,441771.521576822,"서울특별시 관악구 남부순환로 1909, 의현빌딩 지하1, 2층~7층층 (봉천동)",54.0,21.0,65.0,0,여유,,,,,,,,,
심정병원,192455.883042115,442267.149217637,"서울특별시 관악구 남부순환로 1485, 삼남빌딩 2~6층 (신림동)",99.0,22.0,37.0,0,보통,,,,,,,,,
장튼위튼병원,196154.920826589,441961.873381806,서울특별시 관악구 남부순환로 1867 (봉천동),32.0,14.0,39.0,0,여유,,,,,,,,,
바른사랑병원,193643.274303943,442230.03574985,"서울특별시 관악구 신원로 35, 삼모 더 프라임 타워 3,7층 (신림동)",35.0,10.0,20.0,0,여유,,,,,,,,,
서울센트럴병원,195647.366393622,442105.342411703,"서울특별시 관악구 남부순환로 1814, 대연빌딩 3,4,8,9층 (봉천동)",70.0,23.0,37.0,0,여유,,,,,,,,,
참포도나무병원,203350.547009323,441971.940635973,서울특별시 서초구 바우뫼로35길 32 (양재동),38.0,9.0,58.0,0,여유,,,,,,,,,
365엠씨(mc)병원,201178.653260998,443421.176493515,"서울특별시 서초구 서초중앙로 126, 서울365mc병원 지하1층, 2~13층 (서초동)",46.0,13.0,24.0,0,여유,,,,,,,,,
세바른병원,201287.589628621,442640.122666786,서울특별시 서초구 서초중앙로 47 (서초동),37.0,10.0,32.0,0,여유,,,,,,,,,
올바로병원,200324.626408302,442669.649678322,"서울특별시 서초구 명달로 102, 서원빌딩 1-6층 (서초동)",68.0,21.0,8.0,0,혼잡,A1120432,올바로병원,"서울특별시 서초구 명달로 102, 서원빌딩 1-6층 (서초동)",A1120432,올바로병원,"서울특별시 서초구 명달로 102, 서원빌딩 1-6층 (서초동)",A1120432,올바로병원,"서울특별시 서초구 명달로 102, 서원빌딩 1-6층 (서초동)"
뉴민병원,199040.3746688,443425.063163148,"서울특별시 서초구 방배로 223, 창생빌딩 2~7층 (방배동)",31.0,9.0,21.0,0,여유,,,,,,,,,
자이비뇨의학과병원,201856.625065785,444502.636699224,"서울특별시 서초구 서운로 220, 대지스포츠프라자 4층 (서초동)",30.0,8.0,7.0,0,혼잡,,,,,,,,,
척바른병원,199360.582881543,442777.806241993,"서울특별시 서초구 방배로 151, 지하1층일부,2~5층 (방배동)",61.0,18.0,17.0,0,혼잡,,,,,,,,,
서울안강병원,201728.60256238,442694.699054996,"서울특별시 서초구 효령로 331, GL(지엘)빌딩 지하1~3층,2~8층 (서초동)",180.0,69.0,102.0,2,여유,,,,,,,,,
